RPKID,515.289,0.30859965,159.018
STHL,90.12,0.26894134,24.236994
PFMNB,606.553,0.9202874,558.20306
XBZNY,3.767,0.1775834,0.66895664
PGCSK,976.394,0.74169135,724.183
XYMYY,929.625,0.33759898,313.84045
CYUK,980.65,0.6016115,589.97034
EKDR,457.405,0.8381115,383.35638
UQDZ,653.331,0.03318131,21.678377
TPVL,538.213,0.18219954,98.062164
LIECB,439.475,0.49259967,216.48524
ZTLH,151.02,0.6212988,93.828545
MIXA,35.369,0.28856587,10.206286
PBT,498.911,0.05237013,26.128035
UNAJ,611.838,0.90370566,552.92145
ZZJIX,706.175,0.36659116,258.8775
VEWXK,855.977,0.850887,728.3397
WCXNC,60.946,0.7761292,47.301968
HOO,614.319,0.32959628,202.47725
XGMUN,749.274,0.31654054,237.1756
PLANA,319.128,0.37435442,119.46697
CRXWS,432.721,0.13211012,57.166824
LBUT,120.247,0.40269953,48.423412
YQN,353.563,0.65406567,231.25342
BPH,786.401,0.18238097,143.42458
AKFMZ,628.593,0.6396742,402.09473
UHKOH,62.761,0.95491433,59.93138
EHDD,443.893,0.14211977,63.085968
IWAW,120.19,0.5778241,69.448685
TGZ,268.699,0.2024818,54.40666
WAY,853.252,0.57264197,488.6079
HPW,534.895,0.22038668,117.88374
MEYHY,446.67,0.043459415,19.412018
ASC,447.513,0.607972,272.07538
COA,112.401,0.9795716,110.10483
WIQO,658.692,0.26684177,175.76654
DNCT,81.901,0.6623421,54.24648
RHFJ,833.512,0.9089072,757.5851
PYRNV,533.988,0.8999902,480.58395
IWS,415.456,0.82060844,340.9267
RCLFR,302.869,0.57397085,173.83797
UBR,871.256,0.6816616,593.90173
LIDM,442.983,0.9908061,438.91025
OVIN,715.208,0.029567957,21.14724
VDV,260.324,0.27796966,72.362175
JZB,839.239,0.8162349,685.0162
JEM,463.588,0.26776755,124.13383
SCE,170.214,0.39593118,67.393036
SVXNH,977.307,0.043358684,42.374744
PWHQ,725.134,0.1158545,84.01003
KVIS,469.461,0.11064041,51.941357
QRCS,140.086,0.116577506,16.330875
NXHFU,819.141,0.96094835,787.15216
EFGNY,532.086,0.36324066,193.27527
NLAYF,867.672,0.52031404,451.4619
PVD,7.053,0.1791485,1.2635343
